dialogues,summary,AI_Gen_Summary,bleu_score
"[Person1]: Where are you going for your trip?[Person2]: I think Hebei is a good place.[Person1]: But I heard the north of China are experiencing severe sandstorms![Person2]: Really?[Person1]: Yes, it's said that Hebes was experiencing six degree strong winds.[Person2]: How do these storms affect the people who live in these areas?[Person1]: The report said the number of people with respiratory tract infections tended to rise after sandstorms. The sand gets into people's noses and throats and creates irritation.[Person2]: It sounds that sandstorms are trouble for everybody![Person1]: You are quite right.",Person2 plans to have a trip in Hebei but Person1 says there are sandstorms in there.,Person1 tells Person2 about the severe sandstorms in the north of China. Person2 thinks sandstorms are trouble for everybody.,0.18479553251668596
"[Person1]: Welcome to my birthday party, I am so happy you can come.[Person2]: Thanks for inviting me. Here is the gift for you. Happy birthday, Francis! Many more happy and healthy years for you![Person1]: Thank you, shall I open it now?[Person2]: Yes, please do.[Person1]: Wow, a remote car model and my favorite brand. I really like it. That is so nice of you.[Person2]: Yeah, I was really struggling whether I should give you this nice little car. It was the last one they had and I really like it so much myself.[Person1]: Typical you, always wanting to keep the best things for yourself. The more I appreciate the gift now.",Person2 comes to the birthday party of Francis and sends him a remote car model.,Francis gives Person2 the gift of a remote car for Person1's birthday party. Person2 was struggling whether to give Person1 a nice little car or not.,0.27652654105764735
"[Person1]: Hi, Tony. You look unhappy. What's wrong?[Person2]: Oh, Steven, I made a big mistake.[Person1]: What happened?[Person2]: I really wish I hadn't done it.[Person1]: What on earth are you talking about?[Person2]: I got caught cheating. I feel so ashamed. The teacher saw me and told me I failed.[Person1]: What were you thinking?[Person2]: You know my father. If I fail, he'll kill me. I have to do well.[Person1]: But what you should do is study hard.[Person2]: I know. . . I know. . . it's all my fault. I feel awful that I didn't study, and I cheated, and I got caught.[Person1]: So long as you learn from your mistakes.",Tony got caught cheating and feels ashamed. Steven tells him to learn from it and study hard.,Tony tells Steven that he got caught cheating and he feels ashamed. Steven advises him to study hard and learn from his mistakes.,0.6116559281449641
"[Person1]: What time is it, Tom?[Person2]: Just a minute. It's ten to nine by my watch.[Person1]: Is it? I had no idea it was so late. I must be off now.[Person2]: What's the hurry?[Person1]: I must catch the nine-thirty train.[Person2]: You've plenty of time yet. The railway station is very close. It won't take more than twenty minutes to get there.",Person1 is catching a train. Tom asks Person1 not to hurry.,"Tom tells Person1 it's ten to nine, and Person1 must catch the nine-thirty train.",0.2289532175022825
"[Person1]: I don't know how to adjust my life. Would you give me a piece of advice?[Person2]: You look a bit pale, don't you?[Person1]: Yes, I can't sleep well every night.[Person2]: You should get plenty of sleep.[Person1]: I drink a lot of wine.[Person2]: If I were you, I wouldn't drink too much.[Person1]: I often feel so tired.[Person2]: You better do some exercise every morning.[Person1]: I sometimes find the shadow of death in front of me.[Person2]: Why do you worry about your future? You're very young, and you'll make great contribution to the world. I hope you take my advice.",Person1 wants to adjust Person1's life and Person2 suggests Person1 be positive and stay healthy.,"Person2 gives Person1 some advice about Person1's life. Person2 suggests Person1 get plenty of sleep, drink less wine, do some exercise, and worry about the future.",0.23146960616505435
"[Person1]: Would you like to go to the party tonight?[Person2]: Whose party?[Person1]: Ruojia's. Don't you know that? Ruojia has got married.[Person2]: What! Is she really? I can't believe it![Person1]: Yes. Yesterday.[Person2]: Good gracious. That's incredible! I feel so happy for her![Person1]: Yes, me too.[Person2]: But how do you know that?[Person1]: I saw the news from her twitter. And she sent an email about it.[Person2]: What? I didn't receive it![Person1]: Maybe you should check your email.[Person2]: Oh yes, I find it. Tonight at her home. Will you bring something?[Person1]: Yes, a pair of wineglasses and a card to wish her happy marriage.[Person2]: I will buy a tea set.",Person1 tells Person2 that Ruojia is married and will have a party tonight. Person2's surprised to know that. They will bring their gifts to bless her.,Person1 tells Person2 Ruojia has got married. Person2 feels happy for her. Person1 invites Person2 to go to the party tonight. Person2 will buy a tea set and wineglasses.,0.4001304054217642
"[Person1]: Yeah. Just pull on this strip. Then peel off the back.[Person2]: You might make a few enemies this way.[Person1]: If they don't think this is fun, they're not meant to be our friends.[Person2]: You mean your friends. I think it's cruel.[Person1]: Yeah. But it's fun. Look at those two ugly old ladies. . . or are they men?[Person2]: Hurry! Get a shot!. . . Hand it over![Person1]: I knew you'd come around. . .",Person2 at first thinks Person1's behaviour cruel but finally joins Person1.,"Person2 thinks it's cruel to make enemies this way, but Person1 thinks it's fun. Person2 agrees.",5.3579069475970695e-78
"[Person1]: What does your sister look like, Mike?[Person2]: Well, she's tall and pretty.[Person1]: Is she like you?[Person2]: I suppose so. We're both friendly and easy-going.[Person1]: Is she as clever as you?[Person2]: No, she's not as clever as me.[Person1]: Big head!",Mike is describing his sister to Person1.,"Mike tells Person1 his sister is tall and pretty, but not as clever as Person1.",0.2722727952564799
"[Person1]: Is anybody in?[Person2]: How can I help you?[Person1]: I have a headache.[Person2]: Let me take your temperature with a thermometer.[Person1]: OK.[Person2]: I think you have a small fever.[Person1]: I thought so. I felt dizzy this morning.[Person2]: You should've called in sick! Next time, have either of your parents call the school office.",Person1 feels sick and Person2 gives Person1 a check-up.,Person1 has a headache and a fever. Person2 takes Person1's temperature and thinks Person1 has a small fever.,4.772930105054212e-78
"[Person1]: Can I help you?[Person2]: I'd like to buy a new mobile phone please.[Person1]: Ok, would you like a phone with camera and MP3 player?[Person2]: Yes please. And I'd like to be able to make video calls too.",Person1 helps Person2 to choose a new phone.,Person2 wants to buy a new mobile phone with camera and MP3 player.,0.27895334464026217
"[Person1]: Hey, Frank. I heard you got a new job.[Person2]: Yeah, Judy. I will be working for the Post Office. It's not a bad job.[Person1]: Is it true that you have a heavy work schedule?[Person2]: That's right. I am supposed to work at 5am everyday, and I only get 45 minutes for lunch.[Person1]: So, why did you apply for such a demanding job?[Person2]: Well, the government offers its employees excellent health insurance benefits.[Person1]: Oh, I see. And can your family members utilize the health insurance, too?[Person2]: Yeah, that's the best part. All of my children can get free medical care.[Person1]: That's a great employment benefit![Person2]: Now you know why I wanted to work for the Post Office!",Frank got a new job and is telling Judy not only the heavy schedule but also the benefits of this job.,Frank tells Judy about his new job. Frank tells Judy about his heavy work schedule and the government's excellent health insurance benefits.,0.2702400309614069
"[Person1]: Do you have any special skills?[Person2]: I can write computer programs, I have a good command of secretarial skills.[Person1]: What qualifications have you got?[Person2]: I have a doctor license and a driving license.[Person1]: Do you get special training in office skills?[Person2]: I passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English. And studied for a year in London at the Lucas Secretarial College, ending with speeds of 120 words per minute in English shorthand and 50 words per minute in typing. I was also trained in office procedure.[Person1]: Please tell me about work you have done, which qualifies you for this job.[Person2]: I'Ve received some special training in typing, shorthand and operating a fax machine, etc. . I'm experienced in IBM-PC. I can operate familiarly a word-processor, a fax machine, a photo and other office equipment.",Person2 is describing the educational background and previous working experience to Person1 in a job interview.,"Person2 tells Person1 Person2 has a doctor license and a driving license, a doctor's license, a doctor's certificate, a doctor's license, and a doctor's license. Person2 also tells Person1 Person2's special training in typing, shorthand and operating a fax machine, and Person2's experience in IBM-PC.",2.468997380315124e-78
"[Person1]: Excuse me.[Person2]: Yes, sir. Can I help you?[Person1]: Um, this steak, I asked for to be medium rare.[Person2]: Medium rare, that's right, sir. I remember your order.[Person1]: Well, I'm afraid it isn't. It's a bit too well done and rather tough. Would you mind changing?[Person2]: If it is not to your satisfaction, I'll certainly bring you another. But I'm afraid you may have to wait for a few minutes.[Person1]: Yes, that's all right. Thank you very much.",Person1 is not satisfied with the steak and Person2 will change it.,Person2 helps Person1 to change the steak because it's too well done and tough.,0.3021375397356768
"[Person1]: Tom, I've got good news for you.[Person2]: What is it?[Person1]: Haven't you heard that your novel has won The Nobel Prize?[Person2]: Really? I can't believe it. It's like a dream come true. I never expected that I would win The Nobel Prize![Person1]: You did a good job. I'm extremely proud of you.[Person2]: Thanks for the compliment.[Person1]: You certainly deserve it. Let's celebrate!",Person1 congratulates Tom for achieving the Nobel Prize.,Person1 tells Tom Person1's novel has won The Nobel Prize. Tom is surprised and proud.,0.22408789292221604
[Person1]: What makes you think you are able to do the job?[Person2]: My major is Automobile Designing and I have received my master's degree in science. I think I can do it well.[Person1]: What kind of work were you responsible for in the past employment?[Person2]: I am a student engineer who mainly took charge of understanding of the mechanical strength and corrosion resistance of various materials.,Person1 is interviewing Person2 about Person2's ability and previous experience.,Person2 tells Person1 Person2's major is Automobile Designing and Person2's master's degree in science. Person2 is a student engineer.,0.1812312724586482
"[Person1]: Do you drink much?[Person2]: Depending on what you consider a lot.[Person1]: How frequently do you drink?[Person2]: Couple times a week. How about you?[Person1]: Only when I go out. I'm not a big drinker.[Person2]: How much can you drink?[Person1]: I usually only have 2 beers.[Person2]: You're a light weight.[Person1]: How much can you drink?[Person2]: I'm usually drinking all night long. At least 10 drinks.[Person1]: Don't you spend a lot of money then?[Person2]: No. We usually go to places that have specials. Dante's over on the Ave has $ 5. 00 pitchers on Mondays. So for ten, fifteen bucks, I can get a lot of drinks.[Person1]: That's true.[Person2]: If you don't like beer, have you tried mixed drinks? Some of them are pretty good.[Person1]: I like beer, it's just that I get a headache when I drink more than 3.[Person2]: You just have to build up a tolerance. I used to be like that. But your body gets used to it.[Person1]: It'll take awhile, but I'm working on it.[Person2]: Hey let's go out tomorrow night. The Ram Bar and Grill is having a special on pitchers.[Person1]: Alright.","Person1 and Person2 are talking about some personal facts of drinking. Person2 drinks a lot, while Person1 cannot drink much for health reasons. They decide to have a drink together tomorrow night.",Person1 and Person2 talk about their drinking habits. Person2 is a light-weight drinker while Person1 usually only has 2 beers and Person1 gets a headache when drinking more than 3. Person1 and Person2 decide to go out tomorrow night to have pitchers.,0.31765546716828696
"[Person1]: May, do you mind helping me prepare for the picnic?[Person2]: Sure. Have you checked the weather report?[Person1]: Yes. It says it will be sunny all day. No sign of rain at all. This is your father's favorite sausage. Sandwiches for you and Daniel.[Person2]: No, thanks Mom. I'd like some toast and chicken wings.[Person1]: Okay. Please take some fruit salad and crackers for me.[Person2]: Done. Oh, don't forget to take napkins disposable plates, cups and picnic blanket.[Person1]: All set. May, can you help me take all these things to the living room?[Person2]: Yes, madam.[Person1]: Ask Daniel to give you a hand?[Person2]: No, mom, I can manage it by myself. His help just causes more trouble.",May is helping her mother to do some preparation for the picnic.,"Person1 asks May to help her prepare for the picnic. Person1 asks May to take some food, drinks, and napkins to the living room. May refuses.",0.2036086478805404
"[Person1]: Hello, are you Muriel Douglas?[Person2]: Yes, and you must be James. It's nice to meet you at long last.[Person1]: Yes, you too. Thanks for agreeing to meet with us about the new account. My associate, Susan Kim, should be here any minute. Would you like something to drink while we're waiting?[Person2]: No, thanks. I'm fine. Did you have a nice holiday?[Person1]: Yes, I did. My family and I went to Tahoe to ski and the weather was great. How about you?[Person2]: I stayed in L. A. and it was sunny the entire weekend. We spent most of the time at home but we did go see King Kong on Christmas day.[Person1]: How did you like it?[Person2]: It was better than I expected. But, you know, I think I would have enjoyed skiing in Tahoe even better. Do you go there often?[Person1]: No, not much. My wife doesn't like to ski. She prefers vacationing where it's warmer, like Hawaii.[Person2]: I don't blame her. I really enjoyed it there when we went a few years ago. I'd like to go back sometime soon.[Person1]: Yes, me too. Oh, here's Susan now. Let me introduce you.",Muriel Douglas and James meet each other and talk about what they have done during the holiday.,Muriel Douglas and James meet for the first time. Muriel tells James about her holiday in Tahoe and Person2's holiday in L.A. They both enjoyed the holiday. They both want to go back sometime soon.,0.2214250071345737
"[Person1]: Stupid girl, making me spend so much money, now I have to get it from the ATM...[Person2]: Hello, welcome to Universal Bank. Please insert your card into the slot.[Person1]: I know where to put my card! Stupid machine, talking to me like I ' m an idiot...[Person2]: Please input your 6 digit PIN code followed by the pound key. Thank you. Please select an option. Thank you. You have selected withdrawal.[Person1]: Yeah, yeah, I know what I selected. Just gimme my money![Person2]: Please type the amount you would like to withdraw. Thank you, you want to transfer 10000 USD to the World Wildlife Foundation. If this is correct please press 1.[Person1]: No, no! Stupid machine, what are you doing! No![Person2]: Confirmed. Thank you for using our bank! Please remove your card from the slot. Goodbye![Person1]: No, no way! What happened? Give me my money![Person2]: Danger, danger! The exits have been sealed and the doors will remain locked in until the local authorities arrive. Thank you for using our bank. Have a nice day.","Person1 wants to withdraw money from an ATM, but the ATM automatically transfers 10000 USD to the World Wildlife Foundation after confirming the withdrawal option. Person1 gets mad and somehow locked in.",Person1 wants to withdraw 10000 USD to the World Wildlife Foundation from the ATM. Person2 tells Person1 the machine is locked in and the exits have been sealed and the doors will remain locked in until the local authorities arrive.,0.42793687444330786
"[Person1]: Are you a social person?[Person2]: Yes, I am an outgoing person who likes to be with a lot of friends.[Person1]: What is your strategy in communicating with colleagues?[Person2]: Well, the most important thing in communication is your sincerity.",Person2 tells Person1 Person2's communication strategy.,Person2 tells Person1 Person2 is an outgoing person who likes to be with a lot of friends.,0.24799401952075817
"[Person1]: What's wrong with you, Mr. Polly?[Person2]: What's wrong? I want a break from this horrible job.[Person1]: Then, buy a bottle of soft drink.[Person2]: Would you like to buy a bottle for me in the shop?[Person1]: It's a problem, because my boss is in that shop now.[Person2]: Ok, I will go there myself.[Person1]: Sorry, Mr. Polly.[Person2]: It doesn't matter. Oh, God, I have only four dollars in my wallet. Is that possible for me to buy one?[Person1]: Have a try.",Mr. Polly is tired and wants a break from work. Person1 cannot buy a bottle of soft drink for him.,"Mr. Polly wants to buy a bottle of soft drink for Person1 in the shop, but Person1's boss is in the shop now.",0.43253077270721113
"[Person1]: Hello, this is Francis.[Person2]: Hi, this is Monica. I was wondering when we can work on this financial report.[Person1]: Today, I am busy all day long.[Person2]: Shall I see you on Friday morning?[Person1]: That's not good for me at all. It'll have to be another time.[Person2]: We must find some time to read report.[Person1]: I know. I am available from 1 PM to 4 PM on Friday afternoon.[Person2]: That's all right. Then see you on Friday afternoon.[Person1]: See you.",Francis and Monica are discussing when to work on the financial report.,Monica asks Francis to work on the financial report on Friday afternoon. Francis agrees and will see Monica on Friday afternoon.,0.3696927671147241
"[Person1]: Is this the workshop to prepare for an interview?[Person2]: This is the interview class. Welcome to our class.[Person1]: I am really excited to be taking this workshop so that I can get ready for my interview next week.[Person2]: We are all learning things that will help us in our interview. What do you think are some important considerations going into your interview?[Person1]: I think that we should dress neatly and appropriately.[Person2]: Yes. Second, as you can imagine, attitude and friendliness go a long way.[Person1]: Yes, and I always feel much better when I am friendly.[Person2]: Believe it or not, the interviewers are as interested in your questions as they are in your answers.[Person1]: Any more hints as to what I should do in an interview?[Person2]: Always be honest with your answers. The interviewers really do want to know if you will be a good fit for them.",Person1 joins Person2's interview workshop. They discuss the tips to improve their interview performance.,Person2 introduces the workshop to prepare for an interview to Person1. Person2 tells Person1 what Person1 should do in an interview and gives Person1 some hints.,5.213741159110513e-78
"[Person1]: OK, that's a cut! Let's start from the beginning, everyone.[Person2]: What was the problem that time?[Person1]: The feeling was all wrong, Mike. She is telling you that she doesn't want to see you any more, but I want to get more anger from you. You're acting hurt and sad, but that's not how your character would act in this situation.[Person2]: But Jason and Laura have been together for three years. Don't you think his reaction would be one of both anger and sadness?[Person1]: At this point, no. I think he would react the way most guys would, and then later on, we would see his real feelings.[Person2]: I'm not so sure about that.[Person1]: Let's try it my way, and you can see how you feel when you're saying your lines. After that, if it still doesn't feel right, we can try something else.",Person1 and Mike are discussing what kind of emotion should be expressed by Mike in this play. They have different understandings.,"Person1 tells Mike that the feeling was all wrong in the beginning of the scene. Mike thinks Jason's character would react the way most guys would, but Person1 thinks he would react the way most guys would, and then later on, we would see his real feelings.",2.9576494305601445e-78
"[Person1]: Well, I'll see you later, Mrs. Todd. My wife is waiting for me to take her shopping.[Person2]: I understand. There's a lot to get done at weekends, especially when you two work and the children are small.[Person1]: That's right. Jane and I have been talking about visiting you. So when I saw you in the garden, I decided to come over and say hello.[Person2]: I'm glad you did. In fact, I should have called on you first, since you have newly moved here.[Person1]: By the way, do you need anything from the store?[Person2]: No, but thanks for the offer. And thank you for coming over.[Person1]: It's a pleasure.",Person1 greets Mrs. Todd and then they say goodbye to each other.,Person1 comes to visit Mrs. Todd in the garden. Mrs. Todd is waiting for her wife to take her shopping. Person1 thanks her for coming over.,0.11631601023296853
"[Person1]: What's the matter, Bill? You look kind of pale.[Person2]: Oh, I'm just tired.[Person1]: Why?[Person2]: Well, I've been working until around ten every night this week.[Person1]: You should go home at quitting time today and take it easy.[Person2]: Yes. I think I will.[Person1]: That's good. Say, how's your brother?[Person2]: He's fine, but he is awfully busy. He went to the States on a business trip two weeks ago.[Person1]: Oh, really? Is he back yet?[Person2]: No, he won't come back for several more weeks.[Person1]: Wow! He must have a lot to do there.[Person2]: Yes, he does.[Person1]: I want to be sure of the time because I'm going to meet a friend at five o'clock sharp.[Person2]: Well, my watch says 4[Person1]: Good.",Bill is tired. Bill and Person1 talk about Bill's brother.,Bill tells Person1 Bill's tired because he's been working until around ten every night this week. Bill's brother is busy and won't come back for several more weeks. Person1 asks Bill to go home at quitting time.,0.18170555574117953
"[Person1]: Are you going to the demonstration to help stop the spread of nuclear weapons tomorrow, Cleo?[Person2]: No, Simon. I hate demonstrations. I have heard the police will be standing by with tear gas.[Person1]: Yes, but North Korea boasts it has nuclear arms.[Person2]: One hundred ninety countries have signed the Nuclear Non-Proliferation Treaty but the issues are just too complex. There are two sides to every story. I don't understand it and I have no intention of going to a demonstration. Demonstrations don't seem to accomplish anything anyway.[Person1]: Several demonstrations have changed politician's minds throughout history. As a responsible citizen I think it is important to stand up for what you believe in.[Person2]: Leave it to someone else. As I said, if you listen to both sides of a story, both sides have some good points. Why should I demonstrate and risk getting hurt for something that I am not even sure is right?[Person1]: You are not likely to get hurt. This will be a peaceful demonstration. I have spoken to the organizer for the university group. He insists that this will be peaceful. He advocates if you want world peace, peace begins at home-and that means right here in this city.[Person2]: You go if you want, Simon, but I plan to study for my physics exam.[Person1]: It would only take two hours of your day. The bus leaves the campus at 11[Person2]: I am not going, Simon. Why don't you ask the students in your political science class this afternoon if they want to go?[Person1]: They are all going.[Person2]: Okay, Simon. I need to meet my sister for coffee now.[Person1]: Bye then. See you in physics class tomorrow.","Simon and Cleo have different opinions towards the demonstration to help stop the spread of nuclear weapons. Cleo thinks it is useless, while Simon considers that Cleo should go to the demonstration.",Cleo doesn't want to go to the demonstration to help stop the spread of nuclear weapons tomorrow because she hates demonstrations. Simon suggests she ask the students in her political science class this afternoon if they want to go. Cleo refuses because she plans to study for her physics exam. Simon insists that this will be a peaceful demonstration.,0.2921999863267503
"[Person1]: It's partly your own fault. You should never let in anyone like that unless you're expecting him.[Person2]: It's all very well to say that, but someone cones to the door and says 'electricity' or 'gas' and you automatically think he is OK, especially if he shows you a card.",Person2 let in someone and Person1 thinks it was Person2's fault.,Person2 tells Person1 Person1 should never let in anyone like that unless Person2 is expecting him.,0.2289532175022825
